,Serial Number,Timestamp,deltaT,day,month,hour,date,year
4197,4198,2022-04-28 10:29:08-07:00,0 days 00:22:19,28,4,10,2022-04-28,2022
4196,4197,2022-04-28 19:59:21-07:00,0 days 09:30:13,28,4,19,2022-04-28,2022
4195,4196,2022-04-30 01:19:14-07:00,1 days 05:19:53,30,4,1,2022-04-30,2022
4194,4195,2022-04-30 01:19:21-07:00,0 days 00:00:07,30,4,1,2022-04-30,2022
4193,4194,2022-04-30 01:21:00-07:00,0 days 00:01:39,30,4,1,2022-04-30,2022
4192,4193,2022-05-01 09:18:59-07:00,1 days 07:57:59,1,5,9,2022-05-01,2022
4191,4192,2022-05-01 10:41:24-07:00,0 days 01:22:25,1,5,10,2022-05-01,2022
4190,4191,2022-05-01 10:43:10-07:00,0 days 00:01:46,1,5,10,2022-05-01,2022
4189,4190,2022-05-03 10:04:58-07:00,1 days 23:21:48,3,5,10,2022-05-03,2022
4188,4189,2022-05-03 11:14:36-07:00,0 days 01:09:38,3,5,11,2022-05-03,2022
4187,4188,2022-05-05 02:53:16-07:00,1 days 15:38:40,5,5,2,2022-05-05,2022
4186,4187,2022-05-05 07:43:53-07:00,0 days 04:50:37,5,5,7,2022-05-05,2022
4185,4186,2022-05-05 08:50:20-07:00,0 days 01:06:27,5,5,8,2022-05-05,2022
4184,4185,2022-05-05 08:52:02-07:00,0 days 00:01:42,5,5,8,2022-05-05,2022
4183,4184,2022-05-05 08:52:11-07:00,0 days 00:00:09,5,5,8,2022-05-05,2022
4182,4183,2022-05-06 02:40:31-07:00,0 days 17:48:20,6,5,2,2022-05-06,2022
4181,4182,2022-05-06 02:40:37-07:00,0 days 00:00:06,6,5,2,2022-05-06,2022
4180,4181,2022-05-06 02:41:29-07:00,0 days 00:00:52,6,5,2,2022-05-06,2022
4179,4180,2022-05-06 06:57:17-07:00,0 days 04:15:48,6,5,6,2022-05-06,2022
4178,4179,2022-05-06 06:57:21-07:00,0 days 00:00:04,6,5,6,2022-05-06,2022
4177,4178,2022-05-06 06:57:27-07:00,0 days 00:00:06,6,5,6,2022-05-06,2022
4176,4177,2022-05-06 07:04:31-07:00,0 days 00:07:04,6,5,7,2022-05-06,2022
4175,4176,2022-05-06 10:03:04-07:00,0 days 02:58:33,6,5,10,2022-05-06,2022
4174,4175,2022-05-06 10:03:23-07:00,0 days 00:00:19,6,5,10,2022-05-06,2022
4173,4174,2022-05-06 10:04:05-07:00,0 days 00:00:42,6,5,10,2022-05-06,2022
4172,4173,2022-05-06 10:07:51-07:00,0 days 00:03:46,6,5,10,2022-05-06,2022
4171,4172,2022-05-06 10:08:54-07:00,0 days 00:01:03,6,5,10,2022-05-06,2022
4170,4171,2022-05-07 12:06:37-07:00,1 days 01:57:43,7,5,12,2022-05-07,2022
4169,4170,2022-05-08 07:03:49-07:00,0 days 18:57:12,8,5,7,2022-05-08,2022
4168,4169,2022-05-08 07:03:57-07:00,0 days 00:00:08,8,5,7,2022-05-08,2022
4167,4168,2022-05-08 07:04:07-07:00,0 days 00:00:10,8,5,7,2022-05-08,2022
4166,4167,2022-05-08 08:09:43-07:00,0 days 01:05:36,8,5,8,2022-05-08,2022
4165,4166,2022-05-08 08:20:03-07:00,0 days 00:10:20,8,5,8,2022-05-08,2022
4164,4165,2022-05-08 08:31:34-07:00,0 days 00:11:31,8,5,8,2022-05-08,2022
4163,4164,2022-05-08 09:03:10-07:00,0 days 00:31:36,8,5,9,2022-05-08,2022
4162,4163,2022-05-10 08:48:42-07:00,1 days 23:45:32,10,5,8,2022-05-10,2022
4161,4162,2022-05-10 08:53:17-07:00,0 days 00:04:35,10,5,8,2022-05-10,2022
4160,4161,2022-05-10 08:53:21-07:00,0 days 00:00:04,10,5,8,2022-05-10,2022
4159,4160,2022-05-10 08:53:27-07:00,0 days 00:00:06,10,5,8,2022-05-10,2022
4158,4159,2022-05-11 05:23:42-07:00,0 days 20:30:15,11,5,5,2022-05-11,2022
4157,4158,2022-05-11 05:24:25-07:00,0 days 00:00:43,11,5,5,2022-05-11,2022
4156,4157,2022-05-11 05:25:01-07:00,0 days 00:00:36,11,5,5,2022-05-11,2022
4155,4156,2022-05-11 05:25:08-07:00,0 days 00:00:07,11,5,5,2022-05-11,2022
4154,4155,2022-05-11 05:29:33-07:00,0 days 00:04:25,11,5,5,2022-05-11,2022
4153,4154,2022-05-11 06:19:19-07:00,0 days 00:49:46,11,5,6,2022-05-11,2022
4152,4153,2022-05-11 06:19:22-07:00,0 days 00:00:03,11,5,6,2022-05-11,2022
4151,4152,2022-05-11 08:08:25-07:00,0 days 01:49:03,11,5,8,2022-05-11,2022
4150,4151,2022-05-12 03:20:34-07:00,0 days 19:12:09,12,5,3,2022-05-12,2022
4149,4150,2022-05-12 08:48:06-07:00,0 days 05:27:32,12,5,8,2022-05-12,2022
4148,4149,2022-05-12 10:14:49-07:00,0 days 01:26:43,12,5,10,2022-05-12,2022
4147,4148,2022-05-12 10:14:59-07:00,0 days 00:00:10,12,5,10,2022-05-12,2022
4146,4147,2022-05-12 10:15:06-07:00,0 days 00:00:07,12,5,10,2022-05-12,2022
4145,4146,2022-05-13 00:07:26-07:00,0 days 13:52:20,13,5,0,2022-05-13,2022
4144,4145,2022-05-13 06:21:37-07:00,0 days 06:14:11,13,5,6,2022-05-13,2022
4143,4144,2022-05-13 06:23:22-07:00,0 days 00:01:45,13,5,6,2022-05-13,2022
4142,4143,2022-05-13 06:23:36-07:00,0 days 00:00:14,13,5,6,2022-05-13,2022
4141,4142,2022-05-13 06:29:54-07:00,0 days 00:06:18,13,5,6,2022-05-13,2022
4140,4141,2022-05-13 06:30:01-07:00,0 days 00:00:07,13,5,6,2022-05-13,2022
4139,4140,2022-05-13 08:02:34-07:00,0 days 01:32:33,13,5,8,2022-05-13,2022
4138,4139,2022-05-13 08:18:10-07:00,0 days 00:15:36,13,5,8,2022-05-13,2022
4137,4138,2022-05-14 06:52:40-07:00,0 days 22:34:30,14,5,6,2022-05-14,2022
4136,4137,2022-05-14 06:58:24-07:00,0 days 00:05:44,14,5,6,2022-05-14,2022
4135,4136,2022-05-14 07:43:50-07:00,0 days 00:45:26,14,5,7,2022-05-14,2022
4134,4135,2022-05-14 09:18:23-07:00,0 days 01:34:33,14,5,9,2022-05-14,2022
4133,4134,2022-05-14 09:37:05-07:00,0 days 00:18:42,14,5,9,2022-05-14,2022
4132,4133,2022-05-14 09:45:58-07:00,0 days 00:08:53,14,5,9,2022-05-14,2022
4131,4132,2022-05-14 09:49:46-07:00,0 days 00:03:48,14,5,9,2022-05-14,2022
4130,4131,2022-05-14 10:04:42-07:00,0 days 00:14:56,14,5,10,2022-05-14,2022
4129,4130,2022-05-14 10:22:16-07:00,0 days 00:17:34,14,5,10,2022-05-14,2022
4128,4129,2022-05-14 10:22:22-07:00,0 days 00:00:06,14,5,10,2022-05-14,2022
4127,4128,2022-05-15 02:35:04-07:00,0 days 16:12:42,15,5,2,2022-05-15,2022
4126,4127,2022-05-15 03:12:48-07:00,0 days 00:37:44,15,5,3,2022-05-15,2022
4125,4126,2022-05-16 09:35:40-07:00,1 days 06:22:52,16,5,9,2022-05-16,2022
4124,4125,2022-05-16 10:26:50-07:00,0 days 00:51:10,16,5,10,2022-05-16,2022
4123,4124,2022-05-18 02:05:32-07:00,1 days 15:38:42,18,5,2,2022-05-18,2022
4122,4123,2022-05-18 02:05:36-07:00,0 days 00:00:04,18,5,2,2022-05-18,2022
4121,4122,2022-05-18 07:22:03-07:00,0 days 05:16:27,18,5,7,2022-05-18,2022
4120,4121,2022-05-18 07:22:09-07:00,0 days 00:00:06,18,5,7,2022-05-18,2022
4119,4120,2022-05-18 07:49:52-07:00,0 days 00:27:43,18,5,7,2022-05-18,2022
4118,4119,2022-05-19 00:31:38-07:00,0 days 16:41:46,19,5,0,2022-05-19,2022
4117,4118,2022-05-19 11:26:08-07:00,0 days 10:54:30,19,5,11,2022-05-19,2022
4116,4117,2022-05-19 22:34:12-07:00,0 days 11:08:04,19,5,22,2022-05-19,2022
4115,4116,2022-05-19 22:34:19-07:00,0 days 00:00:07,19,5,22,2022-05-19,2022
4114,4115,2022-05-20 03:07:23-07:00,0 days 04:33:04,20,5,3,2022-05-20,2022
4113,4114,2022-05-20 06:34:40-07:00,0 days 03:27:17,20,5,6,2022-05-20,2022
4112,4113,2022-05-20 07:11:52-07:00,0 days 00:37:12,20,5,7,2022-05-20,2022
4111,4112,2022-05-20 07:12:10-07:00,0 days 00:00:18,20,5,7,2022-05-20,2022
4110,4111,2022-05-20 19:25:58-07:00,0 days 12:13:48,20,5,19,2022-05-20,2022
4109,4110,2022-05-20 19:54:52-07:00,0 days 00:28:54,20,5,19,2022-05-20,2022
4108,4109,2022-05-20 19:59:38-07:00,0 days 00:04:46,20,5,19,2022-05-20,2022
4107,4108,2022-05-20 20:04:09-07:00,0 days 00:04:31,20,5,20,2022-05-20,2022
4106,4107,2022-05-20 20:08:20-07:00,0 days 00:04:11,20,5,20,2022-05-20,2022
4105,4106,2022-05-20 20:11:32-07:00,0 days 00:03:12,20,5,20,2022-05-20,2022
4104,4105,2022-05-21 06:28:49-07:00,0 days 10:17:17,21,5,6,2022-05-21,2022
4103,4104,2022-05-21 06:29:02-07:00,0 days 00:00:13,21,5,6,2022-05-21,2022
4102,4103,2022-05-23 01:22:47-07:00,1 days 18:53:45,23,5,1,2022-05-23,2022
4101,4102,2022-05-23 09:48:08-07:00,0 days 08:25:21,23,5,9,2022-05-23,2022
4100,4101,2022-05-23 09:48:30-07:00,0 days 00:00:22,23,5,9,2022-05-23,2022
4099,4100,2022-05-23 09:48:37-07:00,0 days 00:00:07,23,5,9,2022-05-23,2022
4098,4099,2022-05-24 20:43:57-07:00,1 days 10:55:20,24,5,20,2022-05-24,2022
4097,4098,2022-05-24 20:49:22-07:00,0 days 00:05:25,24,5,20,2022-05-24,2022
4096,4097,2022-05-24 20:49:28-07:00,0 days 00:00:06,24,5,20,2022-05-24,2022
4095,4096,2022-05-24 21:05:44-07:00,0 days 00:16:16,24,5,21,2022-05-24,2022
4094,4095,2022-05-25 03:17:10-07:00,0 days 06:11:26,25,5,3,2022-05-25,2022
4093,4094,2022-05-25 03:29:28-07:00,0 days 00:12:18,25,5,3,2022-05-25,2022
4092,4093,2022-05-25 07:55:26-07:00,0 days 04:25:58,25,5,7,2022-05-25,2022
4091,4092,2022-05-25 20:22:03-07:00,0 days 12:26:37,25,5,20,2022-05-25,2022
4090,4091,2022-05-25 20:22:09-07:00,0 days 00:00:06,25,5,20,2022-05-25,2022
4089,4090,2022-05-25 21:03:18-07:00,0 days 00:41:09,25,5,21,2022-05-25,2022
4088,4089,2022-05-25 21:03:42-07:00,0 days 00:00:24,25,5,21,2022-05-25,2022
4087,4088,2022-05-27 11:29:44-07:00,1 days 14:26:02,27,5,11,2022-05-27,2022
4086,4087,2022-05-28 23:18:33-07:00,1 days 11:48:49,28,5,23,2022-05-28,2022
4085,4086,2022-05-28 23:19:48-07:00,0 days 00:01:15,28,5,23,2022-05-28,2022
4084,4085,2022-05-28 23:19:54-07:00,0 days 00:00:06,28,5,23,2022-05-28,2022
4083,4084,2022-05-29 11:24:13-07:00,0 days 12:04:19,29,5,11,2022-05-29,2022
4082,4083,2022-05-29 11:24:30-07:00,0 days 00:00:17,29,5,11,2022-05-29,2022
4081,4082,2022-06-05 20:35:13-07:00,7 days 09:10:43,5,6,20,2022-06-05,2022
4080,4081,2022-06-05 20:35:38-07:00,0 days 00:00:25,5,6,20,2022-06-05,2022
4079,4080,2022-06-05 20:35:45-07:00,0 days 00:00:07,5,6,20,2022-06-05,2022
4078,4079,2022-06-08 10:30:19-07:00,2 days 13:54:34,8,6,10,2022-06-08,2022
4077,4078,2022-06-08 10:31:21-07:00,0 days 00:01:02,8,6,10,2022-06-08,2022
4076,4077,2022-06-09 02:48:23-07:00,0 days 16:17:02,9,6,2,2022-06-09,2022
4075,4076,2022-06-09 03:19:44-07:00,0 days 00:31:21,9,6,3,2022-06-09,2022
4074,4075,2022-06-09 03:20:01-07:00,0 days 00:00:17,9,6,3,2022-06-09,2022
4073,4074,2022-06-09 03:20:09-07:00,0 days 00:00:08,9,6,3,2022-06-09,2022
4072,4073,2022-06-09 03:24:09-07:00,0 days 00:04:00,9,6,3,2022-06-09,2022
4071,4072,2022-06-09 03:24:13-07:00,0 days 00:00:04,9,6,3,2022-06-09,2022
4070,4071,2022-06-09 03:28:11-07:00,0 days 00:03:58,9,6,3,2022-06-09,2022
4069,4070,2022-06-09 03:28:18-07:00,0 days 00:00:07,9,6,3,2022-06-09,2022
4068,4069,2022-06-09 03:28:22-07:00,0 days 00:00:04,9,6,3,2022-06-09,2022
4067,4068,2022-06-09 12:09:23-07:00,0 days 08:41:01,9,6,12,2022-06-09,2022
4066,4067,2022-06-09 12:10:00-07:00,0 days 00:00:37,9,6,12,2022-06-09,2022
4065,4066,2022-06-09 12:10:07-07:00,0 days 00:00:07,9,6,12,2022-06-09,2022
4064,4065,2022-06-09 21:29:16-07:00,0 days 09:19:09,9,6,21,2022-06-09,2022
4063,4064,2022-06-10 08:46:55-07:00,0 days 11:17:39,10,6,8,2022-06-10,2022
4062,4063,2022-06-10 13:54:51-07:00,0 days 05:07:56,10,6,13,2022-06-10,2022
4061,4062,2022-06-11 09:44:47-07:00,0 days 19:49:56,11,6,9,2022-06-11,2022
4060,4061,2022-06-11 09:45:10-07:00,0 days 00:00:23,11,6,9,2022-06-11,2022
4059,4060,2022-06-11 09:45:16-07:00,0 days 00:00:06,11,6,9,2022-06-11,2022
4058,4059,2022-06-11 09:45:58-07:00,0 days 00:00:42,11,6,9,2022-06-11,2022
4057,4058,2022-06-11 09:47:18-07:00,0 days 00:01:20,11,6,9,2022-06-11,2022
4056,4057,2022-06-12 10:25:02-07:00,1 days 00:37:44,12,6,10,2022-06-12,2022
4055,4056,2022-06-12 10:25:09-07:00,0 days 00:00:07,12,6,10,2022-06-12,2022
4054,4055,2022-06-15 03:43:14-07:00,2 days 17:18:05,15,6,3,2022-06-15,2022
4053,4054,2022-06-15 03:54:49-07:00,0 days 00:11:35,15,6,3,2022-06-15,2022
4052,4053,2022-06-15 09:15:16-07:00,0 days 05:20:27,15,6,9,2022-06-15,2022
4051,4052,2022-06-15 12:32:15-07:00,0 days 03:16:59,15,6,12,2022-06-15,2022
4050,4051,2022-06-16 09:30:40-07:00,0 days 20:58:25,16,6,9,2022-06-16,2022
4049,4050,2022-06-16 09:40:19-07:00,0 days 00:09:39,16,6,9,2022-06-16,2022
4048,4049,2022-06-16 09:40:26-07:00,0 days 00:00:07,16,6,9,2022-06-16,2022
4047,4048,2022-06-16 09:55:52-07:00,0 days 00:15:26,16,6,9,2022-06-16,2022
4046,4047,2022-06-16 09:55:56-07:00,0 days 00:00:04,16,6,9,2022-06-16,2022
4045,4046,2022-06-16 10:05:07-07:00,0 days 00:09:11,16,6,10,2022-06-16,2022
4044,4045,2022-06-16 10:26:35-07:00,0 days 00:21:28,16,6,10,2022-06-16,2022
4043,4044,2022-06-16 10:32:13-07:00,0 days 00:05:38,16,6,10,2022-06-16,2022
4042,4043,2022-06-17 09:27:30-07:00,0 days 22:55:17,17,6,9,2022-06-17,2022
4041,4042,2022-06-17 10:06:45-07:00,0 days 00:39:15,17,6,10,2022-06-17,2022
4040,4041,2022-06-17 23:03:11-07:00,0 days 12:56:26,17,6,23,2022-06-17,2022
4039,4040,2022-06-18 00:27:16-07:00,0 days 01:24:05,18,6,0,2022-06-18,2022
4038,4039,2022-06-18 00:27:25-07:00,0 days 00:00:09,18,6,0,2022-06-18,2022
4037,4038,2022-06-18 00:27:32-07:00,0 days 00:00:07,18,6,0,2022-06-18,2022
4036,4037,2022-06-18 00:59:29-07:00,0 days 00:31:57,18,6,0,2022-06-18,2022
4035,4036,2022-06-18 00:59:37-07:00,0 days 00:00:08,18,6,0,2022-06-18,2022
4034,4035,2022-06-18 01:00:21-07:00,0 days 00:00:44,18,6,1,2022-06-18,2022
4033,4034,2022-06-18 03:38:11-07:00,0 days 02:37:50,18,6,3,2022-06-18,2022
4032,4033,2022-06-18 03:38:17-07:00,0 days 00:00:06,18,6,3,2022-06-18,2022
4031,4032,2022-06-18 03:51:08-07:00,0 days 00:12:51,18,6,3,2022-06-18,2022
4030,4031,2022-06-18 03:58:50-07:00,0 days 00:07:42,18,6,3,2022-06-18,2022
4029,4030,2022-06-18 04:29:36-07:00,0 days 00:30:46,18,6,4,2022-06-18,2022
4028,4029,2022-06-18 10:43:11-07:00,0 days 06:13:35,18,6,10,2022-06-18,2022
4027,4028,2022-06-18 10:44:53-07:00,0 days 00:01:42,18,6,10,2022-06-18,2022
4026,4027,2022-06-18 10:45:30-07:00,0 days 00:00:37,18,6,10,2022-06-18,2022
4025,4026,2022-06-18 12:43:00-07:00,0 days 01:57:30,18,6,12,2022-06-18,2022
4024,4025,2022-06-18 13:12:51-07:00,0 days 00:29:51,18,6,13,2022-06-18,2022
4023,4024,2022-06-18 14:37:03-07:00,0 days 01:24:12,18,6,14,2022-06-18,2022
4022,4023,2022-06-19 09:16:55-07:00,0 days 18:39:52,19,6,9,2022-06-19,2022
4021,4022,2022-06-19 10:31:18-07:00,0 days 01:14:23,19,6,10,2022-06-19,2022
4020,4021,2022-06-19 22:35:41-07:00,0 days 12:04:23,19,6,22,2022-06-19,2022
4019,4020,2022-06-20 13:09:25-07:00,0 days 14:33:44,20,6,13,2022-06-20,2022
4018,4019,2022-06-20 13:10:23-07:00,0 days 00:00:58,20,6,13,2022-06-20,2022
4017,4018,2022-06-20 13:10:31-07:00,0 days 00:00:08,20,6,13,2022-06-20,2022
4016,4017,2022-06-20 13:10:34-07:00,0 days 00:00:03,20,6,13,2022-06-20,2022
4015,4016,2022-06-20 13:10:38-07:00,0 days 00:00:04,20,6,13,2022-06-20,2022
4014,4015,2022-06-20 13:10:46-07:00,0 days 00:00:08,20,6,13,2022-06-20,2022
4013,4014,2022-06-20 13:10:53-07:00,0 days 00:00:07,20,6,13,2022-06-20,2022
4012,4013,2022-06-20 13:11:02-07:00,0 days 00:00:09,20,6,13,2022-06-20,2022
4011,4012,2022-06-20 13:11:14-07:00,0 days 00:00:12,20,6,13,2022-06-20,2022
4010,4011,2022-06-22 09:11:40-07:00,1 days 20:00:26,22,6,9,2022-06-22,2022
4009,4010,2022-06-22 09:13:08-07:00,0 days 00:01:28,22,6,9,2022-06-22,2022
4008,4009,2022-06-22 09:14:18-07:00,0 days 00:01:10,22,6,9,2022-06-22,2022
4007,4008,2022-06-22 09:28:08-07:00,0 days 00:13:50,22,6,9,2022-06-22,2022
4006,4007,2022-06-22 10:37:50-07:00,0 days 01:09:42,22,6,10,2022-06-22,2022
4005,4006,2022-06-22 11:05:17-07:00,0 days 00:27:27,22,6,11,2022-06-22,2022
4004,4005,2022-06-22 11:05:21-07:00,0 days 00:00:04,22,6,11,2022-06-22,2022
4003,4004,2022-06-22 11:05:28-07:00,0 days 00:00:07,22,6,11,2022-06-22,2022
4002,4003,2022-06-22 12:34:23-07:00,0 days 01:28:55,22,6,12,2022-06-22,2022
4001,4002,2022-06-22 12:34:27-07:00,0 days 00:00:04,22,6,12,2022-06-22,2022
4000,4001,2022-06-22 12:35:05-07:00,0 days 00:00:38,22,6,12,2022-06-22,2022
3999,4000,2022-06-22 12:38:34-07:00,0 days 00:03:29,22,6,12,2022-06-22,2022
3998,3999,2022-06-22 12:38:50-07:00,0 days 00:00:16,22,6,12,2022-06-22,2022
3997,3998,2022-06-22 12:43:21-07:00,0 days 00:04:31,22,6,12,2022-06-22,2022
3996,3997,2022-06-22 12:43:29-07:00,0 days 00:00:08,22,6,12,2022-06-22,2022
3995,3996,2022-06-22 12:43:39-07:00,0 days 00:00:10,22,6,12,2022-06-22,2022
3994,3995,2022-06-23 00:00:51-07:00,0 days 11:17:12,23,6,0,2022-06-23,2022
3993,3994,2022-06-23 00:24:59-07:00,0 days 00:24:08,23,6,0,2022-06-23,2022
3992,3993,2022-06-23 00:45:59-07:00,0 days 00:21:00,23,6,0,2022-06-23,2022
3991,3992,2022-06-23 01:02:03-07:00,0 days 00:16:04,23,6,1,2022-06-23,2022
3990,3991,2022-06-23 23:30:10-07:00,0 days 22:28:07,23,6,23,2022-06-23,2022
3989,3990,2022-06-23 23:30:15-07:00,0 days 00:00:05,23,6,23,2022-06-23,2022
3988,3989,2022-06-23 23:30:21-07:00,0 days 00:00:06,23,6,23,2022-06-23,2022
3987,3988,2022-06-23 23:41:38-07:00,0 days 00:11:17,23,6,23,2022-06-23,2022
3986,3987,2022-06-23 23:41:53-07:00,0 days 00:00:15,23,6,23,2022-06-23,2022
3985,3986,2022-06-23 23:52:58-07:00,0 days 00:11:05,23,6,23,2022-06-23,2022
3984,3985,2022-06-23 23:53:25-07:00,0 days 00:00:27,23,6,23,2022-06-23,2022
3983,3984,2022-06-24 00:00:37-07:00,0 days 00:07:12,24,6,0,2022-06-24,2022
3982,3983,2022-06-24 00:06:23-07:00,0 days 00:05:46,24,6,0,2022-06-24,2022
3981,3982,2022-06-24 00:07:54-07:00,0 days 00:01:31,24,6,0,2022-06-24,2022
3980,3981,2022-06-24 10:04:59-07:00,0 days 09:57:05,24,6,10,2022-06-24,2022
3979,3980,2022-06-24 10:08:26-07:00,0 days 00:03:27,24,6,10,2022-06-24,2022
3978,3979,2022-06-24 10:08:33-07:00,0 days 00:00:07,24,6,10,2022-06-24,2022
3977,3978,2022-06-25 00:58:20-07:00,0 days 14:49:47,25,6,0,2022-06-25,2022
3976,3977,2022-06-25 11:45:07-07:00,0 days 10:46:47,25,6,11,2022-06-25,2022
3975,3976,2022-06-26 02:13:09-07:00,0 days 14:28:02,26,6,2,2022-06-26,2022
3974,3975,2022-06-26 09:06:05-07:00,0 days 06:52:56,26,6,9,2022-06-26,2022
3973,3974,2022-06-26 09:06:09-07:00,0 days 00:00:04,26,6,9,2022-06-26,2022
